,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
380,less than 0,20,existing credits paid back duly till now,furniture,2212,unknown or no savings account,4-7 years,4,male-single,none,4,car or other,39,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
381,0-200,18,existing credits paid back duly till now,used car,12976,less than 100,unemployed,3,female-divorced_married_or_single,none,4,unknown,38,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
382,no checking account,22,existing credits paid back duly till now,new car,1283,unknown or no savings account,4-7 years,4,female-divorced_married_or_single,none,4,life insurance,25,none,rent,1,skilled employee,1,none,yes,1
383,greater than $200,12,existing credits paid back duly till now,new car,1330,less than 100,less than 1 year,4,male-single,none,1,real estate,26,none,own,1,skilled employee,1,none,yes,1
384,no checking account,30,delay in paying off in the past,business,4272,100-500,1-4 years,2,male-single,none,2,life insurance,26,none,own,2,unskilled,1,none,yes,1
385,no checking account,18,critical account or other credits existing not at this bank,television,2238,less than 100,1-4 years,2,female-divorced_married_or_single,none,1,car or other,25,none,own,2,skilled employee,1,none,yes,1
386,no checking account,18,existing credits paid back duly till now,television,1126,unknown or no savings account,less than 1 year,4,female-divorced_married_or_single,none,2,real estate,21,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
387,0-200,18,critical account or other credits existing not at this bank,furniture,7374,less than 100,unemployed,4,male-single,none,4,life insurance,40,stores,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
388,0-200,15,critical account or other credits existing not at this bank,business,2326,500-1000,1-4 years,2,male-single,none,4,car or other,27,bank,own,1,skilled employee,1,none,yes,1
389,no checking account,9,existing credits paid back duly till now,business,1449,less than 100,4-7 years,3,female-divorced_married_or_single,none,2,car or other,27,none,own,2,skilled employee,1,none,yes,1
390,no checking account,18,existing credits paid back duly till now,new car,1820,less than 100,1-4 years,2,male-married_widowed,none,2,life insurance,30,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
391,0-200,12,existing credits paid back duly till now,furniture,983,greater than 1000,less than 1 year,1,female-divorced_married_or_single,none,4,real estate,19,none,rent,1,unskilled,1,none,yes,1
392,less than 0,36,existing credits paid back duly till now,new car,3249,less than 100,4-7 years,2,male-single,none,4,unknown,39,bank,for free,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
393,less than 0,6,critical account or other credits existing not at this bank,television,1957,less than 100,4-7 years,1,female-divorced_married_or_single,none,4,car or other,31,none,own,1,skilled employee,1,none,yes,1
394,no checking account,9,critical account or other credits existing not at this bank,furniture,2406,less than 100,unemployed,2,male-single,none,3,car or other,31,none,own,1,management or self-employed or officer,1,none,yes,1
395,0-200,39,delay in paying off in the past,education,11760,100-500,4-7 years,2,male-single,none,3,unknown,32,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
396,less than 0,12,existing credits paid back duly till now,furniture,2578,less than 100,unemployed,3,female-divorced_married_or_single,none,4,unknown,55,none,for free,1,management or self-employed or officer,1,none,yes,1
397,less than 0,36,critical account or other credits existing not at this bank,furniture,2348,less than 100,1-4 years,3,male-married_widowed,none,2,life insurance,46,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
398,0-200,12,existing credits paid back duly till now,new car,1223,less than 100,greater than 7 years,1,male-divorced,none,1,real estate,46,none,rent,2,skilled employee,1,none,yes,2
399,no checking account,24,critical account or other credits existing not at this bank,television,1516,greater than 1000,1-4 years,4,female-divorced_married_or_single,none,1,real estate,43,none,own,2,unskilled,1,none,yes,1
400,no checking account,18,existing credits paid back duly till now,television,1473,less than 100,less than 1 year,3,male-married_widowed,none,4,real estate,39,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
401,0-200,18,critical account or other credits existing not at this bank,business,1887,unknown or no savings account,1-4 years,4,male-married_widowed,none,4,real estate,28,bank,own,2,skilled employee,1,none,yes,1
402,no checking account,24,delay in paying off in the past,business,8648,less than 100,less than 1 year,2,male-single,none,2,car or other,27,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
403,no checking account,14,delay in paying off in the past,new car,802,less than 100,1-4 years,4,male-single,none,2,car or other,27,none,own,2,unskilled,1,none,yes,1
404,0-200,18,delay in paying off in the past,new car,2899,unknown or no savings account,greater than 7 years,4,male-single,none,4,car or other,43,none,own,1,skilled employee,2,none,yes,1
405,0-200,24,existing credits paid back duly till now,television,2039,less than 100,less than 1 year,1,male-married_widowed,none,1,life insurance,22,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
406,no checking account,24,critical account or other credits existing not at this bank,used car,2197,unknown or no savings account,4-7 years,4,male-single,none,4,car or other,43,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
407,less than 0,15,existing credits paid back duly till now,television,1053,less than 100,less than 1 year,4,male-married_widowed,none,2,real estate,27,none,own,1,skilled employee,1,none,no,1
408,no checking account,24,existing credits paid back duly till now,television,3235,500-1000,greater than 7 years,3,male-divorced,none,2,car or other,26,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
409,greater than $200,12,critical account or other credits existing not at this bank,new car,939,500-1000,4-7 years,4,male-married_widowed,none,2,real estate,28,none,own,3,skilled employee,1,"yes, registered under the customer name",yes,2
410,0-200,24,existing credits paid back duly till now,television,1967,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,4,car or other,20,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
411,no checking account,33,critical account or other credits existing not at this bank,used car,7253,less than 100,4-7 years,3,male-single,none,2,car or other,35,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
412,no checking account,12,critical account or other credits existing not at this bank,business,2292,less than 100,unemployed,4,male-single,none,2,car or other,42,stores,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
413,no checking account,10,existing credits paid back duly till now,new car,1597,500-1000,1-4 years,3,male-single,none,2,unknown,40,none,rent,1,unskilled,2,none,no,1
414,less than 0,24,existing credits paid back duly till now,new car,1381,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,2,life insurance,35,none,own,1,skilled employee,1,none,yes,2
415,no checking account,36,critical account or other credits existing not at this bank,used car,5842,less than 100,greater than 7 years,2,male-single,none,2,life insurance,35,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
416,less than 0,12,existing credits paid back duly till now,new car,2579,less than 100,less than 1 year,4,male-single,none,1,real estate,33,none,own,1,unskilled,2,none,yes,2
417,less than 0,18,delay in paying off in the past,education,8471,unknown or no savings account,1-4 years,1,female-divorced_married_or_single,none,2,car or other,23,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,1
418,no checking account,21,existing credits paid back duly till now,new car,2782,500-1000,4-7 years,1,female-divorced_married_or_single,none,2,car or other,31,bank,own,1,management or self-employed or officer,1,none,yes,1
419,0-200,18,existing credits paid back duly till now,new car,1042,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,2,life insurance,33,none,own,1,skilled employee,1,none,yes,2
420,no checking account,15,existing credits paid back duly till now,new car,3186,greater than 1000,4-7 years,2,female-divorced_married_or_single,none,3,car or other,20,none,rent,1,skilled employee,1,none,yes,1
421,0-200,12,existing credits paid back duly till now,used car,2028,unknown or no savings account,1-4 years,4,male-single,none,2,car or other,30,none,own,1,skilled employee,1,none,yes,1
422,0-200,12,critical account or other credits existing not at this bank,new car,958,less than 100,4-7 years,2,male-single,none,3,real estate,47,none,own,2,unskilled,2,none,yes,1
423,no checking account,21,delay in paying off in the past,furniture,1591,100-500,4-7 years,4,male-single,none,3,real estate,34,none,own,2,management or self-employed or officer,1,none,yes,1
424,0-200,12,existing credits paid back duly till now,furniture,2762,unknown or no savings account,greater than 7 years,1,female-divorced_married_or_single,none,2,life insurance,25,bank,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
425,0-200,18,existing credits paid back duly till now,used car,2779,less than 100,1-4 years,1,male-married_widowed,none,3,car or other,21,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
426,no checking account,28,critical account or other credits existing not at this bank,television,2743,less than 100,greater than 7 years,4,male-single,none,2,car or other,29,none,own,2,skilled employee,1,none,yes,1
